"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","335.00","338.00","338.00","335.00","0.79K","-1.47%"
"08/31/2023","340.00","335.00","340.00","331.00","0.43K","1.49%"
"08/29/2023","335.00","330.00","336.00","325.00","26.63K","4.69%"
"08/28/2023","320.00","325.00","329.00","316.25","9.95K","0.63%"
"08/25/2023","318.00","315.00","322.00","315.00","0.12K","-0.63%"
"08/24/2023","320.00","321.00","321.00","320.00","0.05K","0.31%"
"08/23/2023","319.00","319.00","319.00","319.00","0.37K","2.57%"
"08/22/2023","311.00","314.50","321.75","310.00","0.31K","-1.27%"
"08/21/2023","315.00","318.25","318.25","315.00","0.22K","-3.08%"
"08/18/2023","325.00","324.00","325.00","318.00","0.00K","1.88%"
"08/17/2023","319.00","320.00","327.00","319.00","0.10K","-1.85%"
"08/16/2023","325.00","315.00","325.00","315.00","4.47K","1.56%"
"08/15/2023","320.00","315.00","320.00","315.00","5.06K","0.00%"
"08/11/2023","320.00","318.00","320.00","315.00","0.21K","0.00%"
"08/10/2023","320.00","318.00","327.50","318.00","20.05K","0.95%"
"08/09/2023","317.00","315.00","317.00","306.75","0.98K","1.60%"
"08/08/2023","312.00","305.00","312.00","305.00","0.04K","0.65%"
"08/07/2023","310.00","305.00","310.00","304.00","2.63K","0.65%"
"08/04/2023","308.00","305.00","308.00","301.00","1.68K","0.98%"
"08/03/2023","305.00","309.50","309.50","303.50","2.68K","-1.61%"
"08/02/2023","310.00","317.00","317.00","310.00","0.33K","-2.21%"
"07/31/2023","317.00","313.00","317.00","313.00","0.75K","3.93%"
"07/28/2023","305.00","301.00","305.50","301.00","0.56K","1.33%"
"07/27/2023","301.00","301.75","303.00","300.00","1.73K","-2.75%"
"07/26/2023","309.50","314.00","314.75","303.00","0.16K","0.16%"
"07/25/2023","309.00","324.00","324.00","307.00","0.12K","-4.33%"
"07/24/2023","323.00","299.75","324.50","299.75","4.36K","7.76%"
"07/21/2023","299.75","295.00","299.75","295.00","102.90K","3.36%"
"07/20/2023","290.00","294.00","294.00","290.00","11.44K","-1.69%"
"07/19/2023","295.00","276.00","295.00","276.00","1.66K","2.79%"
"07/18/2023","287.00","285.00","287.00","285.00","0.06K","0.00%"
"07/17/2023","287.00","282.00","287.50","275.00","35.36K","1.06%"
"07/14/2023","284.00","284.00","284.00","280.25","0.06K","2.90%"
"07/13/2023","276.00","285.00","285.00","275.00","26.67K","-1.60%"
"07/12/2023","280.50","270.00","280.50","270.00","142.16K","3.89%"
"07/11/2023","270.00","264.50","270.00","264.50","1.39K","3.05%"
"07/10/2023","262.00","258.25","262.00","257.00","1.05K","0.77%"
"07/07/2023","260.00","257.00","260.00","257.00","0.01K","0.78%"
"07/06/2023","258.00","258.00","258.00","258.00","0.22K","2.69%"
"07/05/2023","251.25","254.50","260.00","250.00","1.05K","-2.05%"
"07/04/2023","256.50","254.50","268.00","254.50","0.12K","-3.21%"
"06/28/2023","265.00","254.00","265.00","254.00","0.04K","0.00%"
"06/27/2023","265.00","262.00","265.00","260.00","3.81K","1.15%"
"06/26/2023","262.00","262.00","262.00","262.00","0.02K","0.77%"
"06/23/2023","260.00","260.00","260.00","260.00","0.10K","1.56%"
"06/22/2023","256.00","256.00","256.00","256.00","0.02K","0.29%"
"06/21/2023","255.25","258.00","260.00","255.25","1.56K","-0.10%"
"06/20/2023","255.50","255.00","255.50","255.00","0.01K","-1.73%"
"06/19/2023","260.00","256.00","264.00","255.00","0.68K","1.36%"
"06/16/2023","256.50","257.00","257.00","256.50","0.05K","0.49%"
"06/15/2023","255.25","258.00","260.00","255.00","7.21K","0.10%"
"06/14/2023","255.00","252.75","255.00","250.00","75.09K","0.89%"
"06/13/2023","252.75","252.25","252.75","252.25","0.05K","-1.27%"
"06/12/2023","256.00","251.00","256.75","251.00","3.76K","1.99%"
"06/09/2023","251.00","251.00","251.00","251.00","0.51K","0.30%"
"06/08/2023","250.25","250.50","250.50","250.00","26.57K","0.10%"
"06/07/2023","250.00","252.00","252.00","245.75","25.02K","2.04%"
"06/06/2023","245.00","249.50","250.00","245.00","0.17K","0.00%"
"06/05/2023","245.00","231.25","245.75","231.25","0.73K","-1.61%"
"06/02/2023","249.00","246.00","249.00","245.25","5.08K","1.22%"
"06/01/2023","246.00","242.75","246.00","242.75","3.67K","1.34%"
"05/31/2023","242.75","235.25","243.00","235.25","25.08K","3.30%"
"05/29/2023","235.00","235.25","244.00","235.00","0.80K","-3.98%"
"05/26/2023","244.75","245.00","245.00","235.00","0.87K","-2.10%"
"05/25/2023","250.00","250.50","250.50","246.00","27.50K","-0.40%"
"05/24/2023","251.00","250.75","251.00","250.75","2.50K","-0.20%"
"05/23/2023","251.50","251.75","251.75","251.50","0.28K","0.20%"
"05/22/2023","251.00","252.75","252.75","250.00","1.40K","-0.59%"
"05/19/2023","252.50","252.50","252.75","250.00","14.31K","1.00%"
"05/18/2023","250.00","244.00","250.00","244.00","29.61K","4.60%"
"05/17/2023","239.00","239.00","253.75","239.00","0.50K","0.42%"
"05/16/2023","238.00","237.75","238.00","233.00","3.25K","0.11%"
"05/15/2023","237.75","237.75","237.75","232.00","0.08K","0.00%"
"05/12/2023","237.75","238.00","238.00","237.75","0.02K","2.81%"
"05/11/2023","231.25","238.00","238.00","231.25","0.22K","-0.11%"
"05/10/2023","231.50","231.75","231.75","231.50","0.01K","0.54%"
"05/09/2023","230.25","238.00","238.00","230.25","0.01K","-3.05%"
"05/08/2023","237.50","236.00","237.50","236.00","0.19K","0.00%"
"05/04/2023","237.50","235.00","237.50","235.00","0.07K","0.00%"
"05/03/2023","237.50","235.00","237.50","235.00","2.51K","0.21%"
"05/02/2023","237.00","236.00","237.00","236.00","0.63K","0.00%"
"04/28/2023","237.00","237.50","240.00","237.00","0.18K","0.85%"
"04/27/2023","235.00","240.00","240.00","235.00","23.29K","-1.98%"
"04/26/2023","239.75","240.00","240.00","235.25","25.24K","1.91%"
"04/25/2023","235.25","238.00","238.00","235.00","4.93K","-1.16%"
"04/24/2023","238.00","238.00","238.00","238.00","0.05K","0.00%"
"04/21/2023","238.00","238.00","238.00","235.25","67.78K","-1.24%"
"04/20/2023","241.00","235.50","241.00","235.50","0.09K","1.69%"
"04/19/2023","237.00","235.50","237.00","235.50","7.99K","-0.84%"
"04/18/2023","239.00","240.00","240.00","239.00","0.02K","-2.05%"
"04/17/2023","244.00","243.00","244.00","235.00","0.83K","2.95%"
"04/12/2023","237.00","237.00","243.50","237.00","4.10K","0.42%"
"04/11/2023","236.00","236.00","236.25","236.00","0.02K","-3.28%"
"04/10/2023","244.00","242.50","244.00","233.00","0.03K","0.72%"
"04/06/2023","242.25","233.00","242.25","233.00","2.13K","0.52%"
"04/04/2023","241.00","235.00","242.25","233.00","7.13K","0.52%"
"04/03/2023","239.75","233.00","239.75","233.00","0.10K","2.90%"
"03/31/2023","233.00","233.00","233.00","233.00","0.01K","0.00%"
"03/30/2023","233.00","235.00","235.00","233.00","0.51K","-1.27%"
"03/29/2023","236.00","235.00","236.00","235.00","0.06K","1.61%"
"03/28/2023","232.25","234.50","234.50","232.00","0.08K","-1.17%"
"03/27/2023","235.00","235.00","235.00","232.00","0.08K","-0.42%"
"03/24/2023","236.00","235.00","236.00","230.00","2.29K","0.43%"
"03/23/2023","235.00","237.75","237.75","235.00","1.82K","-1.67%"
"03/22/2023","239.00","236.00","239.00","236.00","5.04K","0.42%"
"03/21/2023","238.00","239.00","239.00","236.00","13.14K","1.28%"
"03/20/2023","235.00","235.00","240.00","234.00","9.09K","2.06%"
"03/17/2023","230.25","234.00","234.00","230.25","0.12K","-0.32%"
"03/16/2023","231.00","230.00","231.00","230.00","1.84K","0.43%"
"03/15/2023","230.00","230.00","232.25","230.00","67.35K","0.00%"
"03/14/2023","230.00","227.50","230.00","227.50","0.50K","4.55%"
"03/13/2023","220.00","225.25","225.25","218.00","3.01K","-5.27%"
"03/10/2023","232.25","227.00","232.25","226.00","0.08K","-0.11%"
"03/09/2023","232.50","232.00","232.50","232.00","0.11K","0.22%"
"03/08/2023","232.00","233.00","233.00","231.00","4.00K","0.87%"
"03/07/2023","230.00","229.50","231.50","229.50","2.61K","0.22%"
"03/03/2023","229.50","229.50","229.50","229.50","0.00K","0.00%"
"03/02/2023","229.50","224.75","229.50","224.00","10.22K","4.32%"
"03/01/2023","220.00","219.00","229.00","219.00","0.01K","-4.14%"
"02/28/2023","229.50","229.50","229.50","229.50","0.05K","0.55%"
"02/24/2023","228.25","219.00","228.25","219.00","0.04K","0.00%"
"02/23/2023","228.25","220.50","228.25","220.50","0.01K","3.63%"
"02/22/2023","220.25","227.00","228.25","220.25","1.42K","-2.11%"
"02/21/2023","225.00","228.00","228.00","220.00","0.36K","0.00%"
"02/20/2023","225.00","225.00","225.00","225.00","0.01K","0.00%"
"02/16/2023","225.00","221.00","228.25","221.00","1.03K","0.11%"
"02/15/2023","224.75","224.75","224.75","224.75","0.01K","-0.11%"
"02/14/2023","225.00","204.25","228.50","204.25","0.03K","0.00%"
"02/13/2023","225.00","228.50","228.50","221.00","1.06K","0.00%"
"02/10/2023","225.00","225.25","225.25","220.75","8.12K","-0.55%"
"02/09/2023","226.25","225.00","227.50","225.00","0.09K","0.56%"
"02/08/2023","225.00","230.00","230.00","225.00","0.03K","-2.17%"
"02/07/2023","230.00","228.75","230.00","220.25","0.96K","1.32%"
"02/06/2023","227.00","229.00","229.00","227.00","0.02K","-2.58%"
"02/03/2023","233.00","233.00","233.00","232.00","0.03K","1.41%"
"02/01/2023","229.75","229.75","234.00","229.75","0.04K","-0.11%"
"01/31/2023","230.00","220.00","230.00","220.00","12.01K","2.22%"
"01/30/2023","225.00","224.50","225.00","208.00","1.03K","2.27%"
"01/26/2023","220.00","221.25","221.25","220.00","0.57K","-0.23%"
"01/25/2023","220.50","225.00","225.00","220.50","0.04K","-2.00%"
"01/24/2023","225.00","222.50","225.00","220.00","1.00K","0.00%"
"01/23/2023","225.00","225.00","225.00","225.00","0.31K","0.00%"
"01/20/2023","225.00","225.00","225.00","222.50","65.28K","-1.75%"
"01/19/2023","229.00","229.00","229.00","229.00","0.00K","-0.43%"
"01/18/2023","230.00","230.00","230.00","230.00","0.01K","0.00%"
"01/17/2023","230.00","222.00","230.00","222.00","18.11K","0.00%"
"01/12/2023","230.00","228.00","230.00","226.00","3.65K","1.77%"
"01/11/2023","226.00","226.00","226.00","226.00","0.01K","-1.74%"
"01/10/2023","230.00","223.00","234.50","223.00","1.54K","-1.92%"
"01/09/2023","234.50","234.50","234.50","234.50","0.10K","3.76%"
"01/05/2023","226.00","230.00","230.00","225.00","2.77K","-3.83%"
"01/04/2023","235.00","232.00","235.00","232.00","4.15K","-0.74%"
"01/03/2023","236.75","230.00","237.00","230.00","1.15K","0.74%"
"01/02/2023","235.00","235.00","235.00","230.25","3.58K","0.00%"
